,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,constitucion,20,MX,1570643084,43,23.99,-104.67,75.0,3.36
1,bredasdorp,32,ZA,1570643076,50,-34.53,20.04,51.8,4.7
2,punta arenas,20,PH,1570643059,78,14.18,121.12,81.0,2.24
3,fort-shevchenko,55,KZ,1570643452,76,44.51,50.26,55.13,6.8
4,souillac,20,FR,1570643167,67,45.6,-0.6,63.0,9.17
5,iquira,75,CO,1570643453,57,2.65,-75.64,80.6,4.7
6,mys shmidta,95,RU,1570643256,97,62.06,48.62,31.91,5.57
7,fayaoue,27,NC,1570643454,81,-20.65,166.53,72.41,9.16
8,keetmanshoop,0,NA,1570643455,24,-26.57,18.15,71.6,16.11
9,albany,75,US,1570643094,55,42.65,-73.75,62.01,5.82
10,mataura,100,NZ,1570643064,98,-46.19,168.86,46.99,8.01
11,oussouye,20,SN,1570643456,83,12.49,-16.54,87.8,2.24
12,ushuaia,75,AR,1570643060,87,-54.81,-68.31,46.4,6.22
13,nouakchott,100,MR,1570643456,62,18.08,-15.98,84.2,9.17
14,serov,100,RU,1570643457,95,59.61,60.57,39.47,3.75
15,fort saint john,100,IN,1570643457,90,17.96,79.61,75.47,3.14
16,chuy,19,UY,1570643134,48,-33.69,-53.46,71.69,5.61
17,castro,75,CL,1570643070,76,-42.48,-73.76,57.2,12.75
18,camacha,75,PT,1570643173,77,33.08,-16.33,71.6,13.87
19,sao filipe,0,IN,1570643235,71,20.51,76.21,72.41,3.35
20,vaini,100,IN,1570643061,95,15.34,74.49,69.89,1.13
21,kapaa,1,US,1570643101,94,22.08,-159.32,73.4,9.17
22,cabo san lucas,20,ES,1570643137,72,43.18,-5.8,66.2,9.17
23,pevek,100,RU,1570643270,82,69.7,170.27,29.57,13.94
24,kilgore,40,US,1570643461,57,32.39,-94.88,82.0,6.93
25,carnarvon,28,ZA,1570643073,59,-30.97,22.13,52.79,24.84
26,ancud,75,CL,1570643071,76,-41.87,-73.83,57.2,12.75
27,geraldton,40,CA,1570643130,55,49.72,-86.95,62.6,13.87
28,san angelo,27,ML,1570643463,25,13.3,-4.9,94.37,7.15
29,airai,82,TL,1570643088,35,-8.93,125.41,65.03,5.71
30,damghan,16,IR,1570643464,39,36.17,54.34,62.15,4.85
31,bambous virieux,75,MU,1570643211,69,-20.26,57.41,73.4,17.22
32,hobart,90,AU,1570643060,87,-42.88,147.33,48.2,4.7
33,rikitea,95,PF,1570643072,67,-23.12,-134.97,68.81,6.09
34,georgetown,20,GY,1570643100,66,6.8,-58.16,87.8,9.17
35,tasiilaq,75,GL,1570643188,75,65.61,-37.64,41.0,6.93
36,virginia beach,1,US,1570643467,35,39.95,-90.21,73.99,5.82
37,puerto rico,75,AR,1570643467,35,-51.62,-69.23,55.4,20.8
38,vestmannaeyjar,40,IS,1570643467,75,63.44,-20.27,46.4,5.82
39,erenhot,80,CN,1570643468,63,43.65,111.97,47.75,16.36
40,meulaboh,100,ID,1570643283,82,4.14,96.13,78.89,10.48
41,bluff,11,AU,1570643086,40,-23.58,149.07,60.89,8.24
42,qaanaaq,100,GL,1570643062,82,77.48,-69.36,20.21,12.88
43,torbay,40,CA,1570643119,58,47.66,-52.73,55.99,16.11
44,charters towers,90,US,1570643469,82,38.57,-83.43,72.0,2.72
45,hami,74,CN,1570643469,23,42.84,93.51,60.35,12.04
46,porto novo,0,PT,1570643189,68,41.15,-8.61,64.99,17.22
47,grand river south east,20,FR,1570643135,82,48.39,5.49,57.2,4.7
48,lasa,20,CY,1570643109,73,34.92,32.53,78.8,8.05
49,pocao de pedras,40,BR,1570643471,66,-3.37,-60.41,87.8,4.7
50,cooma,90,AU,1570643471,97,-36.24,149.13,32.0,1.04
51,lebu,11,ET,1570643109,89,8.96,38.73,53.15,4.79
52,labuan,75,BN,1570643279,94,5.28,115.24,77.0,4.87
